business_id,name,latitude,longitude,categories
2120,RESTAURANTE E LANCHONETE RECANTO LTDA ME,-23.758643,-46.714931,"RESTAURANTE,LANCHONETE"
3859,ARIENTI SERVS. DE BAR E RESTAURANTE LTDA ME,-23.7398,-46.702373,"RESTAURANTE,SERVS"
19317,CHOPP E SAMBA BAR E RESTAURANTE LTDA,-23.653735,-46.735193,"CHOPERIA,RESTAURANTE,SAMBA"
51453,ROLEDOÆS RESTAURANTE LTDA-ME,-23.641865,-46.690352,RESTAURANTE
76086,SASHIMI-SAN BUTANTA RESTAURANTE LTDA,-23.584386,-46.767049,"RESTAURANTE,SASHIMI"
76092,RESTAURANTE E CHURRASCARIA KIPICANHA GRILL LTDA ME,-23.584545,-46.766696,"GRILL,RESTAURANTE,CHURRASCARIA"
76978,SKOTT RESTAURANTES LTDA.,-23.586025,-46.757278,RESTAURANTE
77564,RESTAURANTE SANTA PAULA LTDA - ME.,-23.585275,-46.746667,RESTAURANTE
84010,ELIENE DA SILVA ALMEIDA RESTAURANTE ME,-23.535812,-46.732037,RESTAURANTE
84201,MIRIAM BUSATO DA SILVA RESTAURANTE ME,-23.535805,-46.732043,RESTAURANTE
84509,RESTAURANTE FLORENCIA LTDA,-23.535868,-46.731988,RESTAURANTE
84719,ALINES RESTAURANTE E PIZZARIA LTDA ME,-23.53849,-46.72937,"RESTAURANTE,PIZZARIA"
85234,RESTAURANTE SAKURAI LTDA,-23.534248,-46.728527,RESTAURANTE
89233,BIMI RESTAURANTES INDLS COMS LTDA -CSP,-23.519847,-46.740613,RESTAURANTE
89250,RESTAURANTE E PIZZARIA O CASEBRE LTDA ME,-23.519847,-46.740613,"RESTAURANTE,PIZZARIA"
89536,RESTAURANTE E PIZZERIA SEM NOME LTDA.ME,-23.519847,-46.740613,"RESTAURANTE,PIZZARIA"
94898,LANCHONETE E RESTAURANTE L ABITARE LTDA - ME,-23.57709,-46.724158,"RESTAURANTE,LANCHONETE"
98125,BAR E RESTAURANTE PAINEIRAS LTDA,-23.571685,-46.699858,RESTAURANTE
99976,MAX GRILL RESTAURANTE LTDA-ME.,-23.560411,-46.694773,"GRILL,RESTAURANTE"
100425,GOURMET RESTAURANTE LTDA ME,-23.536107,-46.725729,"RESTAURANTE,GOURMET"
124172,BAR E RESTAURANTE OLIVEIRA WEISS LTDA-ME,-23.577457,-46.662821,RESTAURANTE
146430,BAR E RESTAURANTE LONDRINA LTDA ME,-23.507213,-46.712423,RESTAURANTE
256422,CERV.E RESTAURANTE SABOR DO PORTO LTDAME,-23.555233,-46.654095,RESTAURANTE
262358,Q PIZZA PIZZARIA RESTAURANTE E CAFE LTDA,-23.541572,-46.658423,"RESTAURANTE,PIZZARIA,CAFE"
280013,PAVAN E MILANI RESTAURANTE LTDA ME,-23.548632,-46.636484,RESTAURANTE
338344,KAPALUA RESTAURANTES LTDA,-23.517714,-46.61741,RESTAURANTE
338357,NORTE FAST FOOD RESTAURANTE LTDA,-23.517582,-46.617482,"RESTAURANTE,FAST"
367194,RESTAURANTE E BUFFET HIROSHIMA LTDA - ME,-23.541539,-46.579516,"BUFFET,RESTAURANTE"
195573,ROTESSERIE E RESTAURANTE MIRELLA LTDA. ME.,-23.610918,-46.630553,RESTAURANTE
116676,IRMAOS ZOPPETTI RESTAURANTE E PIZZARIA LTDA,-23.564732,-46.685668,"RESTAURANTE,PIZZARIA"
335211,DELICIE S RECEPCOES E RESTAURANTE LTDA,-23.492794,-46.632387,"RECEPCOES,RESTAURANTE"
295572,SERIDO ARTIGOS PARA RESTAURANTES LTDA,-23.541856,-46.632551,RESTAURANTE
297737,SERIDO ARTIGOS PARA RESTAURANTES LTDA,-23.537319,-46.632335,RESTAURANTE
